temperature,ferrite,pearlite,bainite,martensite,austenite
20.0,0.00783627,0.00783627,0.00783627,0.00783627,0.00779758
34.94949494949495,0.00783331494949495,0.00783331494949495,0.00783331494949495,0.00783331494949495,0.00779758
49.898989898989896,0.007828840303030302,0.007828840303030302,0.007828840303030302,0.007828840303030302,0.00779758
64.84848484848484,0.007824325757575757,0.007824325757575757,0.007824325757575757,0.007824325757575757,0.00779758
79.79797979797979,0.007819791414141413,0.007819791414141413,0.007819791414141413,0.007819791414141413,0.00779758
94.74747474747475,0.007815217272727274,0.007815217272727274,0.007815217272727274,0.007815217272727274,0.00779758
109.6969696969697,0.007810613333333333,0.007810613333333333,0.007810613333333333,0.007810613333333333,0.00779758
124.64646464646465,0.007805970303030304,0.007805970303030304,0.007805970303030304,0.007805970303030304,0.00779758
139.59595959595958,0.007801296868686869,0.007801296868686869,0.007801296868686869,0.007801296868686869,0.00779758
154.54545454545456,0.007796593636363636,0.007796593636363636,0.007796593636363636,0.007796593636363636,0.00779758
169.4949494949495,0.0077918606060606065,0.0077918606060606065,0.0077918606060606065,0.0077918606060606065,0.00779758
184.44444444444446,0.007787087777777778,0.007787087777777778,0.007787087777777778,0.007787087777777778,0.00779758
199.3939393939394,0.007782285151515152,0.007782285151515152,0.007782285151515152,0.007782285151515152,0.00779758
214.34343434343435,0.007777452727272728,0.007777452727272728,0.007777452727272728,0.007777452727272728,0.00779758
229.2929292929293,0.007772590505050505,0.007772590505050505,0.007772590505050505,0.007772590505050505,0.00779758
244.24242424242425,0.007767698484848485,0.007767698484848485,0.007767698484848485,0.007767698484848485,0.00779758
259.19191919191917,0.007762766666666667,0.007762766666666667,0.007762766666666667,0.007762766666666667,0.00779758
274.14141414141415,0.007757805050505051,0.007757805050505051,0.007757805050505051,0.007757805050505051,0.00779758
289.0909090909091,0.007752813636363636,0.007752813636363636,0.007752813636363636,0.007752813636363636,0.00779758
304.04040404040404,0.007747792424242424,0.007747792424242424,0.007747792424242424,0.007747792424242424,0.00779758
318.989898989899,0.007742741414141414,0.007742741414141414,0.007742741414141414,0.007742741414141414,0.00779758
333.93939393939394,0.0077376527272727275,0.0077376527272727275,0.0077376527272727275,0.0077376527272727275,0.00779758
348.8888888888889,0.00773254,0.00773254,0.00773254,0.00773254,0.00779758
363.83838383838383,0.007727389595959596,0.007727389595959596,0.007727389595959596,0.007727389595959596,0.00779758
378.7878787878788,0.007722211818181819,0.007722211818181819,0.007722211818181819,0.007722211818181819,0.00779758
393.73737373737373,0.00771700191919192,0.00771700191919192,0.00771700191919192,0.00771700191919192,0.00779758
408.6868686868687,0.007711762222222222,0.007711762222222222,0.007711762222222222,0.007711762222222222,0.00779758
423.6363636363636,0.007706492727272728,0.007706492727272728,0.007706492727272728,0.007706492727272728,0.00779758
438.5858585858586,0.007701193434343434,0.007701193434343434,0.007701193434343434,0.007701193434343434,0.00779758
453.5353535353535,0.007695864343434344,0.007695864343434344,0.007695864343434344,0.007695864343434344,0.00779758
468.4848484848485,0.0076905054545454545,0.0076905054545454545,0.0076905054545454545,0.0076905054545454545,0.00779758
483.4343434343434,0.007685116767676767,0.007685116767676767,0.007685116767676767,0.007685116767676767,0.00779758
498.3838383838384,0.007679695050505051,0.007679695050505051,0.007679695050505051,0.007679695050505051,0.00779758
513.3333333333334,0.007674246666666667,0.007674246666666667,0.007674246666666667,0.007674246666666667,0.00779758
528.2828282828283,0.007668768484848485,0.007668768484848485,0.007668768484848485,0.007668768484848485,0.007790035353535354
543.2323232323232,0.007663260505050506,0.007663260505050506,0.007663260505050506,0.007663260505050506,0.007781544040404041
558.1818181818182,0.007657722727272727,0.007657722727272727,0.007657722727272727,0.007657722727272727,0.007773275454545455
573.1313131313132,0.007652155151515151,0.007652155151515151,0.007652155151515151,0.007652155151515151,0.007765221616161617
588.0808080808081,0.007646557777777778,0.007646557777777778,0.007646557777777778,0.007646557777777778,0.007757231010101011
603.030303030303,0.0076409345454545455,0.0076409345454545455,0.0076409345454545455,0.0076409345454545455,0.007749310000000001
617.979797979798,0.007635277676767677,0.007635277676767677,0.007635277676767677,0.007635277676767677,0.007741474545454546
632.929292929293,0.007629596868686869,0.007629596868686869,0.007629596868686869,0.007629596868686869,0.007733718484848485
647.8787878787879,0.0076238903030303035,0.0076238903030303035,0.0076238903030303035,0.0076238903030303035,0.007726041818181818
662.8282828282828,0.007618148282828282,0.007618148282828282,0.007618148282828282,0.007618148282828282,0.007718444545454546
677.7777777777778,0.007612382222222222,0.007612382222222222,0.007612382222222222,0.007612382222222222,0.0077109100000000005
692.7272727272727,0.0076065863636363635,0.0076065863636363635,0.0076065863636363635,0.0076065863636363635,0.007703395454545455
707.6767676767677,0.007600766060606061,0.007600766060606061,0.007600766060606061,0.007600766060606061,0.007695794141414141
722.6262626262626,0.007594910505050506,0.007594910505050506,0.007594910505050506,0.007594910505050506,0.007687998080808081
737.5757575757576,0.007589035151515152,0.007589035151515152,0.007589035151515152,0.007589035151515152,0.007679933636363636
752.5252525252525,0.00758313,0.00758313,0.00758313,0.00758313,0.007671711010101011
767.4747474747475,0.007577195050505051,0.007577195050505051,0.007577195050505051,0.007577195050505051,0.00766341898989899
782.4242424242425,0.007571230303030303,0.007571230303030303,0.007571230303030303,0.007571230303030303,0.0076551221212121205
797.3737373737374,0.00756467187704382,0.00756467187704382,0.00756467187704382,0.00756467187704382,0.00764683494949495
812.3232323232323,0.007557993001962067,0.007557993001962067,0.007557993001962067,0.007557993001962067,0.00763855292929293
